Quote,Author,Book Title
"We should be ready to change our views at any time, and slough off prejudices, and live with an open and receptive mind. A sailor who sets the same sails all the time, without making changes when the wind changes, will never reach his harbor.",—HENRY GEORGE,
"Why do you torture yourself? You want kindness, but you do not know where to find it. Know that you cannot achieve anything without God…. God is your only Lord, your only master, and you do not need another. God will make you free.",—F. ROBERT DE LAMENNAIS,
"If you can teach a person kindness and love, but you do not, you lose a brother.",—CHINESE PROVERB,
"Heaven and earth are eternal. They are eternal because they do not exist for themselves. In the same way, a truly holy person does not live for himself, and therefore he can become eternal, and can achieve anything.",—LAO-TZU,
"When we die, our souls become free.",—After HERACLITUS,
Do not be embarrassed by your mistakes. Nothing can teach us better than our understanding of them. This is one of the best ways of self-education.,—THOMAS CARLYLE,
An evil person damages not only others but himself.,—After SOCRATES,
"Your enemy will pay you back with rage, will make you suffer, but the biggest damage to you will be caused by the rage and hatred existing in your heart. Neither your father, nor your mother, nor all your family can make you more good than your heart can when it forgives and forgets its abuse.","—DHAMMAPADA, a book of BUDDHIST WISDOM",
A wise man seeks wisdom; a madman thinks that he has found it.,—PERSIAN PROVERB,
"It is not the place we occupy which is important, but the direction in which we move.",—OLIVER WENDELL HOLMES,
"Socrates told his students that in good systems of education, there is a certain limit you should not go beyond. In geometry, he said, it is enough to know how to measure the land when you want to sell it or buy it, or how to share an inheritance, or to divide work among workers. He did not like too many sophisticated sciences; though he knew all of them. He said that sophisticated knowledge requires an extra effort that takes the student’s time from the most basic and the most important human pursuit: moral perfection.",—XENOPHON,
"Divert your gaze from the world of lies. Do not trust your feelings. Only in yourself, only in your impersonal self, can you find the eternal.","—DHAMMAPADA, a book of BUDDHIST WISDOM",
"Stop robbing others before you give money to beggars. With the same hand that we rob one person, we reward another, giving to the poor the money which we have taken from the even poorer. Better no charity than this kind of charity.",—SAINT JOHN CHRYSOSTOM,
"But whoso hath this world’s good, and seeth his brother have need, and shutteth up his bowels of compassion from him, how dwelleth the love of God in him?My little children, let us not love in word; neither in tongue; but in deed and truth.",—I JOHN3:17-18,
"Do not regret the past. What is the use of regrets? The lie says that you should regret. The truth says you should be filled with love. Push all sad memories away from you. Do not speak of the past. Live in the light of love, and all things will be given to you.",—PERSIAN WISDOM,
"I have many things to say and to judge on you: but he that sent me is true; and I speak to the world those things which I have heard of him. They understood not that he spake to them of the Father. Then said Jesus unto them, When ye have lifted up the Son of man, then shall ye know that I am he, and that I do nothing of myself; but as my Father hath taught me, I speak these things.",—JOHN8:26-28,
"We live a short period of time in this world, but we live it according to the laws of eternal life.",—After HENRY DAVID THOREAU,
"You can achieve wisdom in three ways. The first way is the way of meditation. This is the most noble way. The second way is the way of imitation. This is the easiest and least satisfying way. Thirdly, there is the way of experience. This is the most difficult way.",—CONFUCIUS,
"The merit of a man is not in the knowledge he possesses, but in the effort he made to achieve it.",—GOTTHOLD EPHRAIM LESSING,
If you want to study yourself—look into the hearts of other people. If you want to study other people—look into your own heart.,—FRIEDRICH VON SCHILLER,
Your soul is both your judge and your place of sanctuary. Your own soul is your highest judge.,—MANU,
"When Socrates was asked where he came from, he said that he was a citizen of the world. He regarded himself as a citizen of the universe.",—MARCUS TULLIUS CICERO,
"What a strange thing! Many scoundrels try to disguise their dirty deeds by their dedication to the interests of religion, or by their high morals, or by love for their motherland.",—HEINRICH HEINE,
"But be not yet called Rabbi: for one is your Master, even Christ; and all ye are brethren. And call no man your father upon the earth: for one is your Father, which is in heaven. Neither be ye called masters: for one is your Master, even Christ.",—MATTHEW23:8-10,
"A man consists of body and soul. Thus often, especially in his youth, he is interested only in his body, but nevertheless, the most essential part of every man is not his body, but his soul. It is your soul that you must take care of, not your body. You must learn this over time, and remember that your real life is in your spirit, that is, in your soul. Save it from everyday dirt and do not let your flesh guide it; subdue your body to your soul, and then you will fulfill your destiny and live a happy life.",—After MARCUS AURELIUS,
"The heart of the matter is whether we believe or disbelieve in the existence of a spiritual realm. All people are divided into two groups, those who are alive and those who are dead; in other words, those who believe and those who don’t. An unbeliever says: “What is spirit! … What I ate and what I enjoyed, this is what I possess, this is material and real!” And such a person, without thinking much, takes care only of the outer things, arranging in order only his own mean, dirty affairs; he becomes a liar, a snob, a slave, and does not feel any higher needs: freedom, truth, and love. Such a person keeps away from the light of the intellect, because in fact he is dead, and this light gives life only to living things, and hardens and rots the dead things.",—ALEXANDR ARKHANGELSKY,
A person becomes happy to the same extent to which he or she gives happiness to other people.,—JEREMY BENTHAM,
The will of God for us is to live in happiness and to take an interest in the lives of others.,—JOHN RUSKIN,
"If you throw some nuts and cookies on a road, you will eventually see children come, pick them up, and start to argue and fight for them. Adults would not fight for such things. And even children would not pick up the nuts’ empty shells.For a wise man, the wealth, the glory, and the rewards of this world are like sweets or empty shells on a road. Let the children pick them up and fight for them. Let them kiss the hands of the rich men, the rulers, and their servants. For the wise one, all these are but empty shells.",—EPICTETUS,
"A distinctive feature of a thinking person is submission to his fate, as opposed to the shameful struggle with it that is a characteristic feature of animals.",—MARCUS AURELIUS,
"Our thoughts, depending on whether they are good or bad, can bring us either to paradise or to hell; this happens, neither in heaven nor under the earth, but here, in this life.",—LUCY MALORY,
"Three temptations torture people: sexual desire, pride, and lust for wealth. All the misfortunes of mankind come from these three cravings. Without them, people would live in happiness. But how can we get rid of these terrible illnesses? … Work on yourself and improve yourself; this is the answer. Start the improvement of this world from within.",—F. ROBERT DE LAMENNAIS,
"Pure perfection can be found only in God; one’s life consists of becoming closer to God. And when a person knows that good is good and that evil is evil, then he or she gets closer to good, and moves farther from evil.",—CONFUCIUS,
"Judge not, that ye be not judged. For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured to you again.",—MATTHEW7:1-2,
"The most powerful weapon known is the weapon of blessing. Therefore, a clever person relies on it. He wins with peace, not with war.",—LAO-TZU,
"To be strong, you have to be like water: if there are no obstacles, it flows; if there is an obstacle it stops; if a dam is broken, then it flows further; if a vessel is square, then it has a square form; if a vessel is round, then it has a round form. Because it is so soft and flexible, it is the most necessary and the strongest thing.",—LAO-TZU,
"The more a person analyzes his inner self, the more insignificant he seems to himself. This is the first lesson of wisdom. Let us be humble, and we will become wise. Let us know our weakness, and it will give us power.",—WILLIAM ELLERY CHANNING,
"Water does not stay on a mountaintop, but flows into the valley. In the same manner, real virtue does not remain with those people who want to be higher than the others; but virtue stays only with people who are humble.",—After the TALMUD,
"Be as you are, as you have to be, and the rest is God’s business.",—HENRI AMIEL,
"The fulfillment of our duties and the satisfaction of our personal pleasures are two different things. Duties have their own laws, and even if we try to mix our duties with our pleasures, they will separate themselves.",—After IMMANUEL KANT,
"If only God is among us, and eternity exists, then everything is different. We can distinguish good from evil, light from darkness, and despair disappears.",—ERASMUS,
"One of the key questions we face is whether our lives end after death. Whether we believe in eternity or not determines our actions. Therefore, it is crucial that we determine what is mortal in us, and what is eternal, and that we cherish those things eternal. Most people do exactly the opposite.",—After BLAISE PASCAL,
"Whatever name you give to the origin of man, this spiritual quality of humans to understand, feel, and exist, it is holy, it is divine, and, therefore, it should be eternal.",—MARCUS TULLIUS CICERO,
"A person can please God only with the godliness of his life. If an outwardly faithful person is not good, clear, and humble in his life, then he presents a big lie, he serves God falsely.",—After IMMANUEL KANT,
"Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God.",—JOHN3:3,
Intellect can be enlightened only in a kind person. A person can be kind only when he has an enlightened intellect. One helps the other.,—CHINESE WISDOM,
"A merchant married a princess, and he built a palace for her, bought luxurious dresses for her, and brought her hundreds of servants to make her happy. But the princess was bored. She was missing something, and she constantly thought about her royal origin. Thus it is with a human soul: you can surround it with all the pleasures on earth, but it will still be missing its home, the beginning which is called God, the place from which it has originated.",—After the TALMUD,
"Even if people do not know what real kindness is, they nevertheless have it within them.",—CONFUCIUS,
Simplicity is the consequence of refined emotions.,—JEAN D’ALEMBERT,
"Look at the sky, and at the earth, and think that all things pass. All of the mountains and rivers you see, and all the forms of life, and all creations of nature, all pass. Then you will understand the truth; you will see what remains, what does not pass.",—BUDDHISTWISDOM,
"Remember that you are not mortal; only your body is mortal. What is alive is not your body but the spirit living in your body. An unseen force guides your body, just as an unseen force guides the world.",—After MARCUS TULLIUS CICERO,
"You must love only God, and you must hate only yourself.",—BLAISE PASCAL,
"Therefore doth my Father love me, because I lay down my life, that I might take it again. No man taketh it from me, but I lay it down of myself. I have power to lay it down, and I have power to take it again. This commandment have I received of my Father.",—JOHN10:17-18,
Only those people who deny their own personality can understand the religious teaching.,—The TALMUD,
"He who wants to save his soul, will lose it; and he who wants to lose his life for me and the new testament, will save it.",—MARK8:35,
"Those who do not see the meaning of their life in temporary things, in their names and bodies, those people know the truth of life.","—DHAMMAPADA, a book of BUDDHIST WISDOM",
One of the best and purest joys is having a rest after labor.,—IMMANUEL KANT,
"Work all the time. Do not think that work is a disaster for you, and do not seek praise or reward for your work.",—MARCUS AURELIUS,
The most outstanding gifts can be destroyed by idleness.,—MICHEL DE MONTAIGNE,
"If you think it is ever warranted to stop on the path of further understanding, you are very far from the truth. The life which we received was given to us not that we might just admire it, but that we should ever look for new truth hidden from us.",—After JOHN MILTON,
"It is a mistake to believe that we need obey no moral in our attitude to the animals, that we have no moral responsibilities to them. This way lies complete vulgarity and rudeness.",—ARTHUR SCHOPENHAUER,
"All that is written about God, and all that people say about Him, still falls short of the mark. Certain things, which every person canunderstandabout God, can never be expressed, things necessary for everyone, and things which cause the love of God.",—After ANGELUS SILESIUS,
An intellect which can be understood is not an eternal intellect; a being which can be named is not an eternal being.,—LAO-TZU,
"There is a force which resides in all things, without which there is no heaven and no earth. This force cannot be perceived. People try to describe its qualities, to give it different names, such as “intellect” or “love,” but the being itself has no name. It is very remote from us, and it is closest to us.",—After LAO-TZU,
God is the limitless being which accepts only truth.,—MATTHEW ARNOLD,
"Those people who ask where God is are crazy; God is everywhere, in all of nature and in the soul of each person. There are many different religions, but there is only one God. If a person cannot understand himself, how can he understand God?",—INDIAN WISDOM,
"If your eyes become blinded by the sun, you do not say that the sun does not exist. In the same way, you should not say that God does not exist if your intellect is lost in trying to understand him.",—After ANGELUS SILESIUS,
"Imagine a flock of pigeons in a corn field. Imagine that ninety-nine of them, instead of pecking the corn they need and using it as they need it, start to collect all they can into one big heap. Imagine that they do not leave much corn for themselves, but save this big heap of corn on behalf of the vilest and worst in their flock. Imagine that they all sit in a circle and watch this one pigeon, who squanders and wastes this wealth. And then imagine that they rush at a weak pigeon who is the most hungry among them who darest to take one grain from the heap without permission, and they punish him.If you can imagine this, then you can understand the day-to-day behavior of mankind.",—WILLIAM PALEY,
"I see people arguing with each other, preparing different traps for each other, lying and betraying each other. I cannot see without tears that the foundations of Good and Evil are forgotten, or in some cases completely unknown.",—THEOGNIS,
The only way to tell the truth is to speak with kindness. Only the words of a loving man can be heard.,—HENRY DAVID THOREAU,
"We lie to other people so often that we get used to it, and we start to lie to ourselves.",—FRANÇOIS DE LA ROCHEFOUCAULD,
"Before you start praying, ask yourself whether at that moment you can concentrate; otherwise, do not pray at all.Those who make a habit out of prayer do not pray sincerely.",—The TALMUD,
"If you ask for support from God, then you will learn how to find it in yourself. He does not change us, but we change ourselves by getting closer to Him. All ask from Him, as if He should help us, but in the end we give these things to ourselves.",—JEAN JACQUES ROUSSEAU,
"A stupid person should keep silent. But if he knew this, he would not be a stupid person.",—MUSLIH-UD-DIN SAADI,
Only speak when your words are better than your silence.,—ARABIC PROVERB,
"Kind people are never involved in arguments, and those who like to argue are never kind. Truthful words are not always pleasant, and pleasant words are not necessarily truthful.",—LAO-TZU,
Many stupid things are uttered by people whose only motivation is to say something original.,—VOLTAIRE,
"Your gold and silver is cankered; and the rust of them shall be a witness against you, and shall eat your flesh as it were fire.",—JAMES5:3,
"A truly kind person cannot be rich. A rich person, without question, is not a kind one.",—CHINESE PROVERB,
"Then said Jesus unto his disciples, Verily I say unto you, that a rich man shall hardly enter into the kingdom of heaven. And again I say unto you, it is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God.",—MATTHEW19:23-24,
"If beautiful art does not express moral ideas, ideas which unite people, then it is not art, but only entertainment. People need to be entertained in order to distance themselves from disappointment in their lives.",—IMMANUEL KANT,
"An artist is one of two things: he is either a high priest, or a more or less smart entertainer.",—GIUSEPPE MAZZINI,
Perfection is of God. To wish for perfection is of man.,—JOHANN WOLFGANG VON GOETHE,
"Life is not given to us that we might live idly without work. No, our life is a struggle and a journey. Good should struggle with evil; truth should struggle with falsehood; freedom should struggle with slavery; love should struggle with hatred. Life is movement, a walk along the way of life to the fulfillment of those ideas which illuminate us, both in our intellect and in our hearts, with divine light.",—After GIUSEPPE MAZZINI,
"The ideal is within you, and the obstacle to reaching this ideal is also within you. You already possess all the material from which to create your ideal self.",—THOMAS CARLYLE,
"When a traveler starts on a trip along a road which is under the threat of robbers, he does not go alone. He waits for a friend, someone to be his escort, and then he follows him and so is protected from robbers. A wise man lives his life the same way. But there are so many troubles in this world. How can we stand all of them? What kind of a friend or escort will we find on our way, so that we may pass through our lives without fear? Where should we turn? There is only one answer, only one real friend. That is God.If you follow God everywhere, you will steer clear of trouble. To follow God is to want what He wants, and not to want what He does not want. How to achieve this? You have to understand and follow His laws.",—After EPICTETUS,
"Do not wish for too much, nor think that the things you wish for are the only right or necessary things. You should wish only for those things for which God wishes.",—HENRI AMIEL,
He who does good to others makes the biggest gift to himself.,—LUCIUS ANNAEUS SENECA,
"A saint prayed to God in the following way: “O God, please be kind to evil people as much as you are to kind people. Kind people already feel good, because they are kind.”",—MUSLIH-UD-DIN SAADI,
"If you do good and ask for a reward, you weaken the force of your goodness.",—From the BOOK OF DIVINETHOUGHTS,
Do not let your left hand know what your right hand is doing.,—MATTHEW6:3,
"If you want other people to speak well of you, do not speak well of yourself.",—BLAISE PASCAL,
A man who praises himself does not see anything except himself around him. It is better to be a blind man than to see only yourself and nobody else.,—MUSLIH-UD-DIN SAADI,
A flatterer speaks his flattery because he has a low opinion of himself and of others.,—JEAN DE LA BRUYÈRE,
"Work, the process of work in itself, is the most important thing for us, and its reward should be of minor importance; if it is, you please your creator, God. If the reward is of major importance for you, and the work itself of minor importance, then you are the slave of the reward and its creator, the devil, and even the lowest and the least among all devils.",—JOHN RUSKIN,
"Every physical labor makes a man more noble. If you do not teach your son some physical skills, you teach him to rob others.",—After the TALMUD,
"Through prayer, you establish your attitude to the beginning of everything; you clarify your attitude toward people, your relationship with and your duties to them, and to the Father of all of us.",—After the TALMUD,
All living creatures fear pain and death. Try to understand yourself in every living creature: do not torture and do not kill. Stop suffering and death. All living creatures want what you want; all living creatures praise their lives.,"—DHAMMAPADA, a book of BUDDHIST WISDOM",
"Nature created us related to each other, from the same material, for the same purpose. Because of this, somewhere within all of us is mutual love for each other.",—LUCIUS ANNAEUS SENECA,
"There is only one right pathway of life. Sooner or later, we all will meet each other on this pathway. The understanding of it is very clearly inscribed in our hearts, and it is wide and easy to find. At the end of this way is God, and He calls us to Himself. It is so painful to watch people who miss this way of life and go along the other pathway, the way of death.",—After NIKOLAI GOGOL,
"It is a great thing when two souls are united to support each other in their work, in their successes and misfortunes, until the last silent minutes of the last good-bye.",—GEORGE ELIOT,
"The Pharisees also came unto him, tempting him, and saying unto him, Is it lawful for a man to put away his wife for every cause? And he answered and said unto them, Have ye not read, that he which made them at the beginning made them male and female, and said, For this cause shall a man leave father and mother, and shall cleave to his wife: and they twain shall be one flesh? Wherefore they are no more twain, but one flesh. What therefore God hath joined together, let not man put asunder.",—MATTHEW19:3-6,
It is important not only to talk about the good life but to do good things.,—After the TALMUD,
"Never postpone a good deed which you can do now, because death does not choose whether you have or haven’t done the things you should have done. Death waits for nobody and nothing. It has neither enemies, nor friends.",—INDIAN WISDOM,
"When you appeared in this world, you cried, and all the people around you rejoiced. You have to live your life in such a way that when you leave this world, you will rejoice, and all the people around you will cry.",—INDIAN WISDOM,
Those people who have nothing to lose are very rich.,—CHINESE PROVERB,
"Look around. What do the world’s people think about it? They think about everything except what is most important. They think about dancing, music, and singing; they think about houses, wealth, and power; they are jealous about the wealth of rich people and kings; but they do not think at all about what it means to be human.",—After BLAISE PASCAL,
One of the major responsibilities of a person is to make that intellectual spark which you have received from heaven illuminate the world around you.,—CHINESE WISDOM,
The most perfect among men is he who loves his neighbor without thinking about whether the person is good or bad.,—MOHAMMED,
"Be humble and oppose dissipation. Even a thin sword cannot cut soft silk. Using tender words and kindness, you can lead an elephant with a hair.",—MUSLIH-UD-DIN SAADI,
"The apostles lived united, in such a way that they shared one heart and soul. If they had not, no one today would know about Christianity. When some pagans did not accept Christianity, it was because they did not see complete unification and love among Christians. We Christians are to blame when other people do not accept the Christian faith.",—After SAINT JOHN CHRYSOSTOM,
Never blame your neighbor until you have been in his place.,—The TALMUD,
"Forgive other people for many things, but do not forgive yourself anything.",—PUBLILIUS SYRUS,
"A stone falls on a pot—woe to the pot; a pot falls on a stone—woe to the pot; in every case, it is bad for the pot.",—The TALMUD,
You should think in such a way that everybody could look into your soul and see what is transpiring there.,—LUCIUS ANNAEUS SENECA,
Live in the open.,—AUGUSTE COMTE,
"For nothing is secret, that shall not be made manifest; neither any thing hid, that shall not be known and come to light.",—LUKE8:17,
Do not wish for death just because your life is hard. All the burdens on your shoulders will help you fulfill your destiny. The only way to get rid of your burdens is to live your life in such a way that you fulfill your destiny.,—RALPH WALDO EMERSON,
"Life is neither suffering nor pleasure, but the business which we have to do, and which we have to finish honestly, up to our life’s end.",—ALEXIS DE TOCQUEVILLE,
"We should live our lives as if everyone could see us, as if the most secret corners of our soul were open to the sight of others. Why should we hide anything? You cannot hide anything from God. All divine and human learning can be summarized in one truth—that we are members of one big body. Nature united us in one big family, and we should live our lives together, helping each other.",—After LUCIUS ANNAEUS SENECA,
"We are all visitors in this world. Wherever you go in this world, to the north, to the south, to the west, or to the east, there will always be a man waiting to tell you, “This is my property. Get out of here!” When you visit other countries in the world and you come back, you will see that there is not a single piece of free land where your wife can give birth to your child, where you can stop and start working on the land, and where your children can find rest for your bones at life’s end.",—After F. ROBERT DE LAMENNAIS,
"If you leave a man on land which is someone else’s property and tell him that he is a completely free man and can work for himself, it’s as if you drop him in the middle of the Atlantic and tell him that he is free to go ashore.",—HENRY GEORGE,
"Moses said to God, “Where can I find you?” God said, “If you are looking for me, you have already found me.”They asked a wise man, “How do you know that God exists?” He replied, “Is it necessary to have a torch in order to see the sun?” We do not have enough words to explain what God is, but we know without words that He exists.",—ARABIC WISDOM,
"Look at all of your knowledge as a gift, as a means of helping other people.A strong and wise person uses his gifts to support other people.",—JOHN RUSKIN,
"We are temporary visitors in this world; after we are educated, we are called to different places, and we pass away. But the general education of mankind goes on, very slowly but without interruption.",—After GIUSEPPE MAZZINI,
"Do not despair. Do not be disappointed if you see that you cannot accomplish all the good which you would like to accomplish. If you fall, try to stand up; try to overcome the obstacle before you. Get to the heart of the matter, to the essence of things.",—MARCUS AURELIUS,
"Listen and be attentive, but do not speak too much; and when you are asked a question, answer briefly. Do not be ashamed to accept that sometimes you do not know an answer to what you were asked. Do not get into an argument just for the sake of argument; and do not boast.",—SUFI WISDOM,
You can view your own drawbacks only through the eyes of other people.,—CHINESE PROVERB,
I have learned many things from my teachers; I have learned many things from my friends; and I have learned even more from my students.,—The TALMUD,
"If you see a holy man, think: how could I become like him? If you see a dissipated man, think: don’t I have the same vices?",—CHINESE WISDOM,
"A victory over oneself is a bigger and a better victory than a victory over thousands of people in a score of battles. Those who have achieved victory over other people can be defeated in future battles, but those who have achieved victory over themselves become victors forever.","—DHAMMAPADA, a book of BUDDHIST WISDOM",
A passion in a person’s heart is like a spider’s web. At the beginning it is an alien visitor; then it becomes a regular guest; then it becomes master of the house.,—After the TALMUD,
He who has achieved victory over himself has real power.,—EASTERN WISDOM,
"Then came Peter to him, and said, Lord, how oft shall my brother sin against me, and I forgive him? till seven times?Jesus saith unto him, I say not unto thee, Until seven times: but, Until seventy times seven.",—MATTHEW18:21-22,
"If you want to demonstrate some truth to your listeners, do not be irritated, and do not say unkind or abusive words.",—After EPICTETUS,
"If you notice someone in error, then correct this person and his mistake in a humble way. If he does not listen to you, blame yourself only; or, even better, do not blame anybody, but continue to be humble.",—MARCUS AURELIUS,
"Nothing can make a person’s soul softer than the understanding of his own blame, and nothing can make one harder than the desire always to be right.",—After the TALMUD,
Those who cover their old sins with present-day good deeds remind me of the moonlight which illuminates this dark world on a cloudy night.,"—DHAMMAPADA, a book of BUDDHIST WISDOM",
"A huge amount of knowledge is accumulated at present. Soon our abilities will be too weak, and our lives too short, to study this knowledge. We have vast treasures of knowledge at our disposal but after we study them, we often do not use them at all. It would be better not to have this burden, this unnecessary knowledge, which we do not really need.",—IMMANUEL KANT,
"Too-voracious reading, begun at too early an age, fills our minds with undigested material. Our memory can become the master of our feelings and our fate; and when it does, an intellectual effort is required to reinforce our feelings with primeval innocence, to find ourselves amidst the dusty heaps of foreign thoughts and viewpoints, in order to start feeling by ourselves, and—I am ready to say—in order to live on our own.",—GEORGE LICHTENBERG,
"A habit is never good, even a habit of doing good deeds. Good deeds, after they become habits, are no longer acts of virtue. Real good is achieved only with effort.",—IMMANUEL KANT,
"When you carry your burden, you should know that it is good for you to have it. Make the best of this burden and take from it everything which is necessary for your intellectual life, as your stomach takes from food everything necessary for your flesh, or as fire burns brighter after you put some wood on it.",—MARCUS AURELIUS,
Be attentive to what you do; never consider anything unworthy of your attention.,—CONFUCIUS,
"There is a certain limit to the appropriate length of any time in this world. Just as the fruits and vegetables are limited by the seasons of the year, everything should have its beginning, its life, and its ending, after which it should pass away. Wise people willingly submit to this order.",—MARCUS TULLIUS CICERO,
All that I know about God brings me to the following conclusion: all that He did for us were the best things possible.,—After RALPH WALDO EMERSON,
"Try to live your life and be happy with your destiny, acquiring inner peace by love and good deeds.",—MARCUS AURELIUS,
The secret of happiness? Enjoy small pleasures.,—SAMUEL SMILES,
"Do not seek pleasure everywhere, but always be ready to find it.",—JOHN RUSKIN,
Being poor is better than living in luxury and serving the rich. Do not stand at the door of a rich man asking for favors if you hope to lead a good life.,—INDIAN PROVERB,
"A dress presented to you as a gift by the king may be beautiful, but your own simple dress is better. Different meals from the tables of the rich may be good, but a loaf of simple bread from your own table always tastes much better.",—MUSLIH-UD-DlN SAADI,
"To those people who do not work the land, the soil says: if you do not work me, by applying physical labor with both of your hands, then you will stand in front of the doors of others asking for help; you will always be fated to use the leftovers of the rich.",—ZOROASTER,
The biggest happiness is when at the end of the year you feel better than at the beginning.,—HENRY DAVID THOREAU,
Repay evil with goodness.,—The TALMUD,
"And when they were come to the place, which is called Calvary, there they crucified him, and the malefactors, one on the right hand, and the other on the left. Then said Jesus, Father, forgive them; for they know not what they do.",—LUKE23:33-34,
"Conquer rage with humility, conquer evil with goodness, conquer greed with generosity, and conquer lies with truth.","—DHAMMAPADA, a book of BUDDHIST WISDOM",
"When we treat our neighbors as they deserve to be treated, we make them even worse; when we treat them as if they were who we wish they were, we improve them.",—JOHANN WOLFGANG VON GOETHE,
"One can deny Christ in various ways: one can blaspheme rudely, or mock his greatness. But such ways are not dangerous; religion is too precious for people, and this mockery cannot cleave them from it. But there is another way to deny Christ: this is when you call Him your master, and you claim to follow His commandments, but you suppress any free thought by quoting his words, and disguise all stupidities, all mistakes, and all sins of the people in his name. This second way is the truly dangerous one.",—THEODORE PARKER,
"It is not true that a war against a foreign nation can be sacred. It is not true that the earth wants blood. The earth wants pure water from the sky for its rivers, pure dew from its clouds, but not blood. War is cursed by God, as are those who participate in it.",—ALFRED DE VIGNY,
"Rather, it is your crimes that separate you from God, and it is your sins that make him hide his face so that he will not hear you. For your hands are stained with blood, your fingers with guilt; your lips speak falsehood, and your tongue utters deceit.",—ISAIAH59:2-3,
"Nobody can say that he knows what the afterlife will be. Our beliefs are based not on logical proofs but on moral ones and therefore I cannot say that God exists and I am immortal, but I can say that God exists and that my “self” is immortal. This means that my faith in God is so closely connected with my nature that this faith cannot be separated from me.",—IMMANUEL KANT,
"The animal beginning disappears, the veil is taken from the future, the darkness disperses. It is then that we feel our immortality.",—After SAINT MARTIN,
The further any purpose the faster we should work toward it.,—GIUSEPPE MAZZINI,
"The longer I live, the more things I must complete.",—WILLIAM ELLERY CHANNING,
Very often people are proud of the purity of their conscience only because their memory is too short.,—ZANIZAD RAFAEZSKY,
"Drop after drop, water fills the vessel; in the same way those who want to be good, become filled with goodness.","—DHAMMAPADA, a book of BUDDHIST WISDOM",
"Many of our vices exist only because they are supported by other vices; therefore, if we destroy our major vices, many others will disappear at once, in the same way as branches fall when you cut the trunk of a tree.",—BLAISE PASCAL,
"God exists because we exist. You can call it any other name, but there is no doubt that the superior life which created us exists. And you can call the source of this life God, or give it any other name.",—GIUSEPPE MAZZINI,
"Looking for God is like pulling a net in the water. When you pull the net, it is heavy and full of water, and yet when you pull it out, there is nothing in it. When you seek God with your intellect and your actions, God exists in you, and as soon as you decide that you have found God, and stop and become satisfied, you have lost him.",—FYODOR STRAKHOV,
The unity of all living beings exists in this world where everybody and everything quietly seeks God. It is only unbelieving atheists who see eternal silence.,—JEAN JACQUES ROUSSEAU,
Great thoughts come directly from the heart.,—Luc DE VAUVENARGUES,
We came to strange conclusions in this world: we say that we live in society but at the same time we live lonely lives.,—THOMAS CARLYLE,
"If there are millionaires, there should be paupers.",—HENRY GEORGE,
"If you have an income without working hard, then someone worked hard without receiving an income.",—MAIMONIDES,
Our efforts to penetrate the mystery of God are futile. It is enough to follow the divine law.,—The TALMUD,
A saint lives with his inner life; he denies outer life.,—LAO-TZU,
Great deeds have very remote consequences.,—JOHN RUSKIN,
"A man is humble. He can hardly say: I exist, I can think.",—After RALPH WALDO EMERSON,
"Christianity is a very simple thing: love other persons, as you love God. Be as perfect as your father in heaven. Live in the spirit of God, making the best things, in the best possible way, for the best purposes. Even a small child can understand these ideas, and even a great mind cannot improve upon them.",—THEODORE PARKER,
"There are two types of ignorance, the pure, natural ignorance into which all people are born, and the ignorance of the so-called wise. You will see that many among those who call themselves scholars do not know real life, and they despise simple people and simple things.",—BLAISE PASCAL,
"The truth should often overcome thousands of obstacles, until it is accepted.",—GEORGE LICHTENBERG,
The scholar who thinks but does not create is like the cloud which does not give rain.,—EASTERN WISDOM,
Mankind has never achieved greatness but through suffering.,—F. ROBERT DE LAMENNAIS,
Religion gives a person the understanding of the meaning of his existence and his destination.,—ANATOLE FRANCE,
"He who is kind does good for other people. And if a person suffers while he does kind deeds, he becomes an even better person.",—JEAN DE LA BRUYÈRE,
He that loveth father or mother more than me is not worthy of me: and he that loveth son or daughter more than me is not worthy of me.,—MATTHEW10:37,
There is no higher blessing for a person than to do charitable work for the benefit and well-being of others.,—LUCY MALORY,
"Thus I command you, to love one another.",—JOHN15:17-19,
"Until I can see that the major commandment of Christ—love your enemies—is being fulfilled, I will continue to believe that many people are not real Christians, but only pretend to be Christians.",—GOTTHOLD EPHRAIM LESSING,
The worst mistake which was ever made in this world was the separation of political science from ethics.,—PERCY BYSSHE SHELLEY,
"Jesus cried and said, He that believeth on me, believeth not on me, but on him that sent me. And he that seeth me seeth him that sent me. I am come a light into the world, that whosoever believeth on me should not abide in darkness. And if any man hear my words, and believe not, I judge him not: for I came not to judge the world, but to save the world. He that rejecteth me, and receiveth not my words, hath one that judgeth him: the word that I have spoken, the same shall judge him in the last day. For I have not spoken of myself; but the Father which sent me, he gave me a commandment, what I should say, and what I should speak. And I know that this commandment is life everlasting: whatsoever I speak therefore, even as the Father said unto me, so I speak.",—JOHN12:44-50,
"Without purity of soul, how can you say, I will glorify God? That light, like a morning star, which lives in the heart of every person, this light is our salvation.","—WABANA PURANA, INDIAN WISDOM",
"Do not seek happiness elsewhere. Give thanks to God, who made necessary things simple, and complicated things unnecessary.",—GREGORY SKOVORODA,
